analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_selected_events,n_sessions,n_subjects,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high,q_sensitivity
baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112,0.03509330749511719
baseline_response_window_sensitivity,10,10,100,7567,27,19,0.013736162775036892,0.028417736050913175,11,0.70855712890625,-0.05979113279035922,0.09754398356518101,0.8435203915550595
baseline_response_window_sensitivity,10,20,0,16950,39,21,0.07651174487452152,0.08640508504949988,17,0.0032787322998046875,0.028904414578774115,0.10873785556154211,0.010246038436889648
baseline_response_window_sensitivity,10,20,100,7567,27,19,0.010337391238294805,0.03586698609116414,11,0.5677604675292969,-0.0539193193526754,0.053040862254360464,0.7507851249293277
baseline_response_window_sensitivity,10,30,0,16950,39,21,0.08454690391820235,0.09896392226465603,17,0.0010023117065429688,0.04584929540019902,0.12656938950529845,0.008952617645263672
baseline_response_window_sensitivity,10,30,100,7567,28,19,0.012119134242748214,0.04049265413422445,10,0.48996734619140625,-0.03935411525516372,0.08647233136109228,0.7507851249293277
baseline_response_window_sensitivity,10,40,0,16950,39,21,0.08399913719678011,0.10121427735482934,17,0.0011758804321289062,0.0434454029812354,0.12787380132989945,0.008952617645263672
baseline_response_window_sensitivity,10,40,100,7567,29,19,0.012310919788629748,0.04158742512340383,11,0.5677604675292969,-0.04922110330151479,0.04125296873818092,0.7507851249293277
baseline_response_window_sensitivity,10,50,0,16950,39,21,0.07991920969200206,0.09744424990991007,17,0.0013742446899414062,0.04549302538987053,0.12091926535217498,0.008952617645263672
baseline_response_window_sensitivity,10,50,100,7567,29,19,0.01526395104810932,0.048501938912062434,11,0.37359619140625,-0.037996383335624176,0.08167276835609888,0.6025745022681451
baseline_response_window_sensitivity,20,10,0,16756,39,21,0.08847531667542585,0.08761664053446534,15,0.0024824142456054688,0.010277023390386705,0.12490195512612784,0.009547747098482572
baseline_response_window_sensitivity,20,10,100,7488,29,19,0.05280394967910267,0.04217777526589677,13,0.21011734008789062,-0.024849712785472072,0.08262288006219595,0.35019556681315106
baseline_response_window_sensitivity,20,20,0,16756,39,21,0.0983604245229002,0.10082501884395709,16,0.0013742446899414062,0.04136403094802747,0.13668252275803972,0.008952617645263672
baseline_response_window_sensitivity,20,20,100,7488,29,19,0.05286498536266686,0.04557513532577925,13,0.12318801879882812,-0.051011651662112564,0.09538402479226107,0.2281259607385706
baseline_response_window_sensitivity,20,30,0,16756,39,21,0.11026529286265699,0.1125931022969517,17,0.0006074905395507812,0.0674416150587638,0.15601585384376984,0.008952617645263672
baseline_response_window_sensitivity,20,30,100,7488,29,19,0.029873916660976954,0.04269690841936496,12,0.168792724609375,-0.03822335839649971,0.07542449421455522,0.29102193898168105
baseline_response_window_sensitivity,20,40,0,16756,39,21,0.12039755494303173,0.11068899843945636,17,0.0010023117065429688,0.059821512932269005,0.1491414052369417,0.008952617645263672
baseline_response_window_sensitivity,20,40,100,7488,29,19,0.02013319075997687,0.04678652881696539,13,0.156402587890625,-0.03571230493444222,0.09590661741979511,0.2792903355189732
baseline_response_window_sensitivity,20,50,0,16756,39,21,0.11666063444285622,0.10629756006842365,17,0.0011758804321289062,0.05599064228462265,0.1280557304079119,0.008952617645263672
baseline_response_window_sensitivity,20,50,100,7488,29,19,0.04578117953425615,0.05273942231286005,12,0.104156494140625,-0.03979198622809477,0.10041479197875253,0.20030095027043268
baseline_response_window_sensitivity,30,10,0,16286,37,20,0.09708243767850781,0.08578376330283993,16,0.0042209625244140625,0.033686568575044464,0.11960824434009168,0.011107796116879112
baseline_response_window_sensitivity,30,10,100,7320,31,20,0.02658820015350706,0.018964764466798983,12,0.5705966949462891,-0.04335969444570461,0.05976100835344476,0.7507851249293277
baseline_response_window_sensitivity,30,20,0,16286,37,20,0.10816600400530965,0.10081218275247254,14,0.0031528472900390625,0.02324735254261595,0.15605361247983596,0.010246038436889648
baseline_response_window_sensitivity,30,20,100,7320,31,20,0.010989979393529746,0.024412683902264365,11,0.49800872802734375,-0.04335969444570461,0.06714582426886236,0.7507851249293277
baseline_response_window_sensitivity,30,30,0,16286,37,20,0.12536915618849465,0.118337376973777,15,0.0014324188232421875,0.042849501500841526,0.16804813917636222,0.008952617645263672
baseline_response_window_sensitivity,30,30,100,7320,31,20,0.00817539002971646,0.020808602987359003,11,0.6742229461669922,-0.05838797038822199,0.06372480030236118,0.8222231050816978
baseline_response_window_sensitivity,30,40,0,16286,37,20,0.12070176874048538,0.1169169747629987,15,0.001689910888671875,0.04459163036050134,0.1686633821241368,0.009388393825954862
baseline_response_window_sensitivity,30,40,100,7320,31,20,0.0023008768637624924,0.02427243624759607,11,0.6215133666992188,-0.047541310282892484,0.06372557102445484,0.796812008588742
baseline_response_window_sensitivity,30,50,0,16286,37,20,0.11625118224037437,0.10917017510533895,15,0.0023250579833984375,0.04792587857348265,0.1650367669281112,0.009547747098482572
baseline_response_window_sensitivity,30,50,100,7320,31,20,0.0164667657070635,0.02930806036749085,11,0.5705966949462891,-0.05994204729804167,0.06326922799073856,0.7507851249293277
baseline_response_window_sensitivity,40,10,0,15270,37,20,0.07873345003376486,0.0762893920660103,14,0.0072956085205078125,-0.0008292420287017502,0.12580519496571285,0.01586001852284307
baseline_response_window_sensitivity,40,10,100,7026,29,19,-0.006225127958996157,0.0004408306995950225,9,0.6507492065429688,-0.07979962278825217,0.05384892852740987,0.8134365081787109
baseline_response_window_sensitivity,40,20,0,15270,37,20,0.11574996136326249,0.09708821439470613,14,0.006389617919921875,0.004791708198640877,0.16334548936270718,0.015213375999813988
baseline_response_window_sensitivity,40,20,100,7026,29,19,-0.016655004983191612,0.008389844510996109,9,0.8287849426269531,-0.07998868219179804,0.06105585896007965,0.8953889211018881
baseline_response_window_sensitivity,40,30,0,15270,37,20,0.11759027252240646,0.11509443577765943,14,0.0042209625244140625,0.025103303853062007,0.1904847549065439,0.011107796116879112
baseline_response_window_sensitivity,40,30,100,7026,29,19,-0.008293921585839636,0.009741244391748435,9,0.8595733642578125,-0.07806299309278586,0.06320279255331906,0.8953889211018881
baseline_response_window_sensitivity,40,40,0,15270,37,20,0.11426123190431174,0.11519284323791279,15,0.00485992431640625,0.03717773900993241,0.1905033953738498,0.012149810791015625
baseline_response_window_sensitivity,40,40,100,7026,29,19,-0.006544801233580033,0.010944384838194455,9,0.9217147827148438,-0.0674512564090873,0.06351083364636192,0.9405252884845344
baseline_response_window_sensitivity,40,50,0,15270,37,20,0.10608256952929813,0.10737640372395545,15,0.0072956085205078125,0.032030417435712326,0.19147288705651075,0.01586001852284307
baseline_response_window_sensitivity,40,50,100,7026,29,19,-0.014826633522482924,0.019761102786537643,9,0.8287849426269531,-0.07280818458764445,0.0844084858208276,0.8953889211018881
baseline_response_window_sensitivity,50,10,0,13692,36,20,0.09481200106330923,0.07419414167557674,13,0.009435653686523438,-0.003751715113437429,0.11831022171771902,0.019657611846923828
baseline_response_window_sensitivity,50,10,100,6611,29,19,-0.014962037739337089,-0.014154810227090454,8,0.5412178039550781,-0.06804514748285222,0.023519529855442367,0.7507851249293277
baseline_response_window_sensitivity,50,20,0,13692,36,20,0.12292778837448463,0.10311522609276587,14,0.0042209625244140625,0.00025193068029409973,0.16311142416068206,0.011107796116879112
baseline_response_window_sensitivity,50,20,100,6611,29,19,-0.01523184624726319,-0.0009396425563204759,9,0.7982521057128906,-0.06804514748285222,0.06634528156021138,0.8953889211018881
baseline_response_window_sensitivity,50,30,0,13692,36,20,0.16121632230197108,0.12254390083960083,15,0.0023250579833984375,0.032145992984243296,0.20179409316748,0.009547747098482572
baseline_response_window_sensitivity,50,30,100,6611,29,19,-0.013276279277780634,0.0012538759046299274,9,0.7982521057128906,-0.06804514748285222,0.06823250224145094,0.8953889211018881
baseline_response_window_sensitivity,50,40,0,13692,36,20,0.1343775036789649,0.125998275127719,16,0.002712249755859375,0.037457494192818214,0.21161493209714613,0.009686606270926339
baseline_response_window_sensitivity,50,40,100,6611,29,19,-0.004403159870623452,-0.00016482467057446054,9,0.8595733642578125,-0.06804514748285222,0.07328880122479889,0.8953889211018881
baseline_response_window_sensitivity,50,50,0,13692,36,20,0.1321626962752882,0.1200403154361672,16,0.0019855499267578125,0.036907511252209785,0.19657412145367462,0.009547747098482572
baseline_response_window_sensitivity,50,50,100,6611,29,19,-0.016880294288731057,0.007699430080922355,9,1.0,-0.06804514748285222,0.07155007766538946,1.0
