analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_selected_events,n_sessions,n_subjects,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high,q_within_analysis
post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155,0.9168374538421631
post_only,10,,20,16691,38,21,0.00734951100822491,0.03286578574781612,11,0.682713508605957,-0.04487861370871499,0.05097080597427378,0.8983072481657329
post_only,10,,30,16170,36,20,0.0012588925279698043,0.011994974527465558,10,0.9854354858398438,-0.05807921830932283,0.03824228637246146,0.9854354858398438
post_only,10,,50,13004,34,20,-0.01397083007654177,0.020033706547717654,9,0.8123550415039062,-0.048999543765511064,0.04680950261511231,0.9554797952825372
post_only,10,,100,7567,26,19,-0.025247383099054825,0.030180522521442293,7,0.9217147827148438,-0.07653790197572201,0.023429206927015417,0.9659151236216227
post_only,10,,250,1776,3,3,-0.09281743147961792,-0.11138827727540719,0,,-0.18755911044037799,-0.053788289906225695,
post_only,20,,0,16756,39,21,0.02448337910023654,0.0393327050121136,12,0.3376598358154297,-0.01241629317059767,0.07819354153461355,0.5754321813583374
post_only,20,,20,16506,39,21,0.03719099841643332,0.04236742883495252,13,0.21568012237548828,-0.0347848460898218,0.08438527003223256,0.5754321813583374
post_only,20,,30,15999,37,20,0.030636269732460735,0.04263956363786503,11,0.21616744995117188,-0.03546634441560438,0.0915864936580094,0.5754321813583374
post_only,20,,50,12868,36,20,0.034012505497851134,0.05208137138385186,13,0.11398696899414062,-0.02443143517612424,0.10426981666574016,0.5699348449707031
post_only,20,,100,7488,29,19,0.0049163298784193656,0.036648690700110585,11,0.3524589538574219,-0.05841345102076942,0.09063167935831715,0.5754321813583374
post_only,20,,250,1754,3,3,-0.09566872188784896,-0.13471375030850244,0,,-0.25634605278791645,-0.0521264762497419,
post_only,30,,0,16286,37,20,0.02097517696035886,0.045831719449444155,14,0.08969497680664062,-0.0015499583452592593,0.07970566287099026,0.5699348449707031
post_only,30,,20,16050,37,20,0.026519889548897724,0.04735517395594316,13,0.09730720520019531,-0.007004258836791198,0.06319395834379864,0.5699348449707031
post_only,30,,30,15561,37,20,0.028036945037926114,0.05188354421623973,14,0.06372261047363281,0.0003785506160486826,0.08684895755450847,0.5699348449707031
post_only,30,,50,12542,36,20,0.04481784084833659,0.05572794705418098,12,0.10539817810058594,-0.007284733257575171,0.10690211852749112,0.5699348449707031
post_only,30,,100,7320,31,20,-0.01928269278961399,0.017100529041259034,9,0.8408222198486328,-0.05763063598955681,0.06397019136980175,0.9554797952825372
post_only,30,,250,1715,3,3,-0.12176739597991387,-0.11160527799399356,0,,-0.18737250033364594,-0.025675937668420842,
post_only,40,,0,15270,37,20,0.004271834751922374,0.03609582934720381,12,0.2942523956298828,-0.010445573089306642,0.08799995556271023,0.5754321813583374
post_only,40,,20,15053,37,20,0.004320571883668321,0.03596767829126104,11,0.4523754119873047,-0.010901200021302085,0.07346533052521118,0.6462732950846354
post_only,40,,30,14603,37,20,0.012266690971899225,0.039132337800964936,13,0.3299827575683594,-0.01647477276878145,0.08083690598768817,0.5754321813583374
post_only,40,,50,11858,36,20,0.006767435596843577,0.045166692646302645,11,0.3117942810058594,-0.025930386828270972,0.10821558397251044,0.5754321813583374
post_only,40,,100,7026,29,19,-0.03074931359860711,-0.0010168933054624108,6,0.4653167724609375,-0.07382870229926941,0.020624773755594433,0.6462732950846354
post_only,40,,250,1648,3,3,-0.09702941235662309,-0.11065966595921535,0,,-0.19107133636781826,-0.04387824915320471,
post_only,50,,0,13692,36,20,0.008345210175632174,0.03478407262747738,10,0.36827659606933594,-0.016904114127342183,0.08205352221032249,0.5754321813583374
post_only,50,,20,13498,36,20,0.0051962870547277926,0.03732516748141995,10,0.3299827575683594,-0.019531913810961015,0.06435124145406287,0.5754321813583374
post_only,50,,30,13101,36,20,0.00413077689890177,0.04089011386677112,11,0.3299827575683594,-0.01911872522859196,0.09696743148175915,0.5754321813583374
post_only,50,,50,10802,34,20,-0.00596329249958219,0.019750137755399348,9,0.9272785186767578,-0.046274657724315535,0.0586085361855371,0.9659151236216227
post_only,50,,100,6611,29,19,-0.02860702174313981,-0.008164545976944044,6,0.25792694091796875,-0.06804514748285216,0.015261287879391322,0.5754321813583374
post_only,50,,250,1574,2,2,-0.10639039694792214,-0.10639039694792214,0,,-0.1718123322614844,-0.04096846163435989,
baseline_subtracted_rate,50,10.0,0,13692,36,20,0.09481200106330923,0.07419414167557674,13,0.009435653686523438,-0.003751715113437429,0.11831022171771902,0.019657611846923828
baseline_subtracted_rate,50,10.0,20,13498,36,20,0.059901645319352485,0.06535361057952518,14,0.013616561889648438,0.0006363524923327889,0.1236507831359088,0.02269426981608073
baseline_subtracted_rate,50,10.0,30,13101,36,20,0.06668321762231645,0.06485676756977576,15,0.012079238891601562,0.007344729827982241,0.12173719480975473,0.021570069449288503
baseline_subtracted_rate,50,10.0,50,10802,34,20,0.016040805311890095,0.017319926934013703,12,0.4523754119873047,-0.0330271317715268,0.09590461116034957,0.5654692649841309
baseline_subtracted_rate,50,10.0,100,6611,29,19,-0.014962037739337089,-0.014154810227090454,8,0.5412178039550781,-0.06804514748285222,0.023519529855442367,0.6443069094703311
baseline_subtracted_rate,50,10.0,250,1574,2,2,-0.05142430343574233,-0.05142430343574233,1,,-0.17181233226148485,0.06896372539000019,
baseline_subtracted_rate,50,20.0,0,13692,36,20,0.12292778837448463,0.10311522609276587,14,0.0042209625244140625,0.00025193068029409973,0.16311142416068206,0.016580928455699574
baseline_subtracted_rate,50,20.0,20,13498,36,20,0.11627015936550046,0.10232040769866205,14,0.00485992431640625,0.000777121500010719,0.16884747621950988,0.016580928455699574
baseline_subtracted_rate,50,20.0,30,13101,36,20,0.09658377581759942,0.0891649503987149,14,0.01068878173828125,0.0029648077205363527,0.16335972795158166,0.02055534949669471
baseline_subtracted_rate,50,20.0,50,10802,34,20,0.02294066673851672,0.03820319278747317,13,0.16495704650878906,-0.020206076064619143,0.09662166686453363,0.22910700903998482
baseline_subtracted_rate,50,20.0,100,6611,29,19,-0.01523184624726319,-0.0009396425563204759,9,0.7982521057128906,-0.06804514748285222,0.06634528156021138,0.8676653322966202
baseline_subtracted_rate,50,20.0,250,1574,2,2,-0.0672924713718695,-0.0672924713718695,1,,-0.17181233226148485,0.037227389517745846,
baseline_subtracted_rate,50,30.0,0,13692,36,20,0.16121632230197108,0.12254390083960083,15,0.0023250579833984375,0.032145992984243296,0.20179409316748,0.016580928455699574
baseline_subtracted_rate,50,30.0,20,13498,36,20,0.1346654993493358,0.1237356185915669,14,0.006389617919921875,0.0007860095385395262,0.20717039675940502,0.016580928455699574
baseline_subtracted_rate,50,30.0,30,13101,36,20,0.13972286374478154,0.11799623123437222,15,0.005580902099609375,0.011518116416725437,0.20039124145766618,0.016580928455699574
baseline_subtracted_rate,50,30.0,50,10802,34,20,0.013309289775598473,0.04675778443245781,12,0.2773551940917969,-0.026876306408459994,0.0867968891681563,0.36494104485762746
baseline_subtracted_rate,50,30.0,100,6611,29,19,-0.013276279277780634,0.0012538759046299274,9,0.7982521057128906,-0.06804514748285222,0.06823250224145094,0.8676653322966202
baseline_subtracted_rate,50,30.0,250,1574,2,2,-0.09375053134909322,-0.09375053134909322,0,,-0.17181233226148485,-0.015688730436701596,
baseline_subtracted_rate,50,40.0,0,13692,36,20,0.1343775036789649,0.125998275127719,16,0.002712249755859375,0.037457494192818214,0.21161493209714613,0.016580928455699574
baseline_subtracted_rate,50,40.0,20,13498,36,20,0.12620717300157303,0.12424077164391152,14,0.0072956085205078125,-0.006144796512350573,0.22072764380912335,0.016580928455699574
baseline_subtracted_rate,50,40.0,30,13101,36,20,0.15941784198230552,0.12438751163763417,14,0.0072956085205078125,0.005740474907663057,0.20932959563671305,0.016580928455699574
baseline_subtracted_rate,50,40.0,50,10802,34,20,0.026235769675941836,0.05857543877990573,11,0.16495704650878906,-0.02965020131919774,0.12435984361024971,0.22910700903998482
baseline_subtracted_rate,50,40.0,100,6611,29,19,-0.004403159870623452,-0.00016482467057446054,9,0.8595733642578125,-0.06804514748285222,0.07328880122479889,0.8953889211018881
baseline_subtracted_rate,50,40.0,250,1574,2,2,-0.1162510915855635,-0.1162510915855635,0,,-0.17181233226148485,-0.06068985090964216,
baseline_subtracted_rate,50,50.0,0,13692,36,20,0.1321626962752882,0.1200403154361672,16,0.0019855499267578125,0.036907511252209785,0.19657412145367462,0.016580928455699574
baseline_subtracted_rate,50,50.0,20,13498,36,20,0.11860957427733321,0.11963760260071779,14,0.006389617919921875,-0.006708922856449442,0.20443330415132432,0.016580928455699574
baseline_subtracted_rate,50,50.0,30,13101,36,20,0.15273669514923405,0.12178906294829417,14,0.005580902099609375,-0.008608093082314387,0.20729826605354795,0.016580928455699574
baseline_subtracted_rate,50,50.0,50,10802,34,20,0.07452731363788576,0.0815896981155092,12,0.03623390197753906,-0.023840467114926187,0.15079974570570084,0.056615471839904785
baseline_subtracted_rate,50,50.0,100,6611,29,19,-0.016880294288731057,0.007699430080922355,9,1.0,-0.06804514748285222,0.07155007766538946,1.0
baseline_subtracted_rate,50,50.0,250,1574,2,2,-0.10658187192309418,-0.10658187192309418,0,,-0.17181233226148485,-0.04135141158470351,
